customerEmail,customerPhone,customerDevice,customerIPAddress,customerBillingAddress,No_Transactions,No_Orders,No_Payments,transactionId,transactionAmount,transactionFailed,Fraud
qramsey@hotmail.com,+45(0)7468859801,0o4xh6wbyuxwchh1la5f,58.43.60.165,"87265 Woods Square
Port Heidimouth, LA 03208-8304",6,5,2,"5hj630hg, pz9du9rq, fv1q37k3, mh712ehl, 7sfult79, wmbgls2d",137.0,1.0,False
9es7t@u6n7x,518.037.7423x366,uqdiolg8krd34n4phs18,3617:fa2b:f31e:5b72:59a8:cb1a:d090:edb9,"63978 Luis Ports
Yvonneville, NE 63736-2980",2,1,1,"7m39em4p, yz35aas7",32.0,1.0,True
ypruitt@hotmail.com,804-331-7488x82163,dmqmkcujj3k31g0kr9b4,224.3.233.30,"437 Jean Well
Andrewville, FM 13796",4,4,3,"h7huu8lz, t55qhcm8, bzubcvnz, qyw32m2v",146.0,0.0,False
zbennett@frazier.com,995.449.5115x498,zxdd5co6f5pylq9it4x0,e03d:db6e:f5ca:b9cd:d64f:80fe:6177:26e1,"89773 Peterson Course Suite 625
East Amandaborough, VA 47613-8661",0,0,0,,,,False
aweaver@yahoo.com,565-347-7032,lr2c0lancqoqkosnyqnj,2432:d9dc:c6ad:ef9c:c5df:b7bf:1b48:4444,"85993 Heather Drive
East Erinhaven, KY 61109",1,1,1,0exoy858,20.0,0.0,False
richard05@hanson-key.org,(428)021-0009,wr3wy5qmkd8qqwljulll,158.72.242.154,"432 Margaret Isle
West Kevinbury, SC 42235",1,1,1,j3vtxcy9,40.0,0.0,False
paul86@hotmail.com,986-625-5606,iyac5n05j0sxp2b0cnnc,aae7:6c39:b70:7025:d60d:bab3:6547:4adc,"546 Kim Walk
South Jacquelinefurt, NM 01696",2,1,1,"kuqkfynb, rk0m8roe",88.0,1.0,False
xwang@white.com,592.309.4963x427,1qj6z7funp3l28ym8trh,7891:9f08:9ac6:c816:7c58:26cd:ff2c:7ddc,"139 Ramirez Island Suite 885
New Joan, MT 69993",0,0,0,,,,False
mark02@young.com,(833)029-3127,iuaio7yeshnjtrqn6qc5,107.82.81.240,"229 Michelle Union Suite 692
Lake Sarahport, AS 45607",5,4,2,"rxcql0ld, aq1qv1td, w2tqx0ln, xu7b9kcr, fn1847f0",166.0,1.0,False
johnlowery@gmail.com,737-377-9701x577,jz66ap43id2y35ivfqa5,6c21:ac1d:2089:68fa:abb7:8c00:525f:6588,"08238 Kyle Squares Suite 893
Millermouth, IN 27535-5397",0,0,1,"300mewnx, cfoevtai, kg0emdbe, crwqqfpi, u2xbyl92, c5w6btep, 7sdl8reg, i25dewqi, bpvdqkr7, qenelvvf, w5wkltds, m0vig74t, ao66pcnh, 0ltw4chk, h1zprjml, aoyfjmwf, hjsrew5l, e93zwysp, t2tr0zve, ckvws967, gzs6it77, soaefwfo, 7df4i4c9, c5usmga3, qio8vvq7, xi23rned, my4g00b1, g3bqf8xd",1033.0,6.0,True
smithtiffany@davis-perkins.com,384.291.0196x66623,czrv4aped9e2ndgv89b5,141.224.72.49,"1862 Melanie Islands Apt. 152
North Williamhaven, IA 08202-2571",0,0,1,,,,False
brandon58@conner.com,726-715-7429x06218,qywyyrk5r87k21ij3p62,225.62.150.241,"USS Barr
FPO AE 16052-3851",8,3,1,"bczklypo, 75p8ugk5, p237hz8y, e6vl0gpx, fo3oz01r, fqqaqp6q, lesb2kxu, w3jgb8qt",149.0,5.0,False
knichols@gmail.com,(664)946-1521x6991,w0ykvw2nrcc03lx6logd,43.108.40.6,"1742 Regina Turnpike Suite 295
West Austin, DE 93022",0,0,1,,,,False
gsimpson@cox.org,+23(4)1428642270,nf0i429dh2h2fmf287ec,20.34.8.37,"32514 Freeman Court
Port Waltermouth, SC 34012",0,0,0,,,,False
johnlowery@gmail.com,+16(4)9016414340,cdx178qymd6vy77nm4x3,222.79.159.140,"77711 Pamela Ridge
New Kayla, IL 27182",3,2,1,"300mewnx, cfoevtai, kg0emdbe, crwqqfpi, u2xbyl92, c5w6btep, 7sdl8reg, i25dewqi, bpvdqkr7, qenelvvf, w5wkltds, m0vig74t, ao66pcnh, 0ltw4chk, h1zprjml, aoyfjmwf, hjsrew5l, e93zwysp, t2tr0zve, ckvws967, gzs6it77, soaefwfo, 7df4i4c9, c5usmga3, qio8vvq7, xi23rned, my4g00b1, g3bqf8xd",1033.0,6.0,True
jamescampbell@randall-pacheco.biz,599-142-6783,eaul63h9guyvwuymfn3z,45.203.99.249,"29408 Lisa Lock
Port Jennifer, LA 26501-7040",7,3,2,"n53a4z93, nq16vew4, r40gi7kt, so2vwp1v, ulr6tqlz, 8hc4ygjd, vpzfovrf",146.0,4.0,True
johnsonjennifer@yahoo.com,1-670-969-5075x27186,yqt388sj7f142rohzukc,172.191.99.44,"6395 Christopher Lakes Suite 062
South Dana, ID 74510-4952",0,0,0,,,,False
briana34@gmail.com,952-580-9304x38838,s7dtery2p2f00b7qnwvv,f793:509a:b82a:f556:b199:c649:8ab3:3f0a,"4264 Traci Mountains Suite 245
East Trevor, NC 37274-0975",7,5,2,"2gd1xtoz, z292pjgq, 0xj8t0jz, ji0xd4so, 7o924iwu, 4bce098o, zrro6kto",236.0,2.0,False
jonesandrea@gray.biz,+49(5)7226212913,szchbklzmzi87sa0oyz0,120.215.98.17,"33328 Mendez Shore Apt. 328
North Miguelville, MT 05102-0874",3,3,1,"jjnhdzhb, cmlxddnq, kyzfj2ta",96.0,0.0,False
kristina41@gmail.com,1-836-334-7673,1a88bvu79nax6873na08,35.23.150.176,"5769 Ronald Brook Suite 963
Lake Jasonfurt, MS 45350-9530",7,6,3,"o022s00u, w7ludkyz, ohw0eoga, uusnh2tp, 0niv9sm2, by1ob38p, h96uhgzk",369.0,1.0,True
whodges@yahoo.com,791-857-3838x784,c0zsrf0sna9bkdhncxk3,26a2:b5fa:e76c:cf72:577b:ea46:3b20:16b0,"839 Heather Mall Suite 257
Lake Robert, AL 60583-4065",0,0,1,,,,False
nolanalec@yahoo.com,+00(2)1650962747,9ytcxpehi6xw76g5qhhl,b298:90c6:ce22:e0aa:5906:4ec3:d8c:a455,"6790 Cassandra Loop
Davidton, ME 00036",5,4,3,"uzxl7bjx, 6vdayna1, 3rc2nhqf, 83llpfdj, rhgbdlfu",179.0,1.0,False
spencer77@reid.com,423.526.5373,7318fn930cyfirv504xp,8.13.234.51,"9811 Allison Harbors
Perryberg, SC 57620-9104",5,2,3,"9pqd6ebh, 9udno8l3, h0heqcju, obe4ky4l, 62dks9yz",101.0,3.0,False
zthomas@gmail.com,731.957.1783x62296,7p70n6q6zbgfhiqqqsxy,ad37:7b02:70fb:4b74:bc77:cd13:1bed:2483,"01494 Anderson Corners Suite 314
Daviston, SC 85230",0,0,0,,,,False
uguzman@yahoo.com,(017)893-9493,at92v1f1r3shwbeujiap,151.245.182.84,"9596 Christian Bridge
West Nicholasbury, OR 90106-9840",1,1,1,ftiso5mr,353.0,1.0,True
ssmith@levine-harmon.biz,266-228-3021x90360,7u2y3wsyj7ehzfao86md,13ff:5a93:bc34:e190:5e4b:ac80:2e2d:6217,"37549 Crawford Forest
Christopherside, KY 96656",8,5,2,"3f97a9jm, qblbbsr6, uriznwe8, wpumno5r, th1lhv8t, 6qb7pwgb, cyob52xd, fu5bnafm",240.0,4.0,False
feliciabrown@gmail.com,(226)129-2677,z7xkuohhjbtiqs6q9rk9,115.137.171.103,"49680 Brian Squares Apt. 122
Port Walterburgh, MH 02766-0708",1,1,1,55tz7m12,41.0,0.0,True
dianacook@gmail.com,764-447-7031,ntl63nfd4sevm4xxvsyq,710e:d9d9:1ef0:cdc:ed53:10d:2c7e:667e,"938 Miranda Mountain
Alexandratown, AS 69640",3,2,1,"mivfzxfz, xmzhdlhj, 6nfh2k77",58.0,1.0,False
cookbenjamin@hotmail.com,(287)694-5221x45370,8fapmchbpcdesx94tnmb,82.3.174.184,"585 Veronica Loop Suite 856
East Rebeccachester, AZ 55756",6,4,1,"7p1c81gx, odva1tei, wxb335un, hyknr1f4, 1qfz6ocd, mctz3wea",217.0,2.0,False
joserowland@jones.com,698-954-1805,znzp16ko7mtwjfxgrle4,152.211.139.83,"1292 Tricia Key Suite 062
Marthabury, KS 40445",4,4,6,"yjfirs14, hrzejsy4, 6xtouwt2, u2mtko2f",108.0,0.0,True
pattersonphilip@yahoo.com,(425)200-2228,9gyjtadv75scvq723pow,d1ca:57d4:7c58:8cd4:e100:99d8:3fd6:92f9,"258 Teresa Crescent Apt. 167
Rodriguezmouth, AS 13930",4,4,2,"61k4wiml, tuyrl147, cattpxq6, kn2hi7mn",110.0,0.0,False
hj8maoy@1jcfcxs7,03115487766,e3prs7zh4ueieiwlkud7,769a:4538:2bd2:8213:85ed:ca71:1ea3:dcd9,"872 Ashley Island Apt. 254
East Anthonytown, LA 10352",6,5,2,"ixardum8, 01qy7cu0, b2llml7i, cwqkwqg6, ao9gm8ru, eyudgsxk",200.0,1.0,True
finleybrianna@yahoo.com,255-915-9059x3369,m97tf30d9wpav4njjfbm,233.79.136.157,"445 Nicole Hollow
Carterton, FM 48532",7,4,1,"gec3i717, e9cfoezm, vln8ddqj, 20fwt83g, 203fxp7y, 7sajyzm4, ybvvmxmd",219.0,4.0,False
suzanne21@gmail.com,1-043-962-2576,ewc3gyloi1ing9o64jpt,4834:7ccb:15de:9123:5658:42c3:cc50:79f,"398 Latasha Canyon
Kathyland, LA 36717-2161",5,3,2,"hpcgclef, 5mub2d51, vdwjlp18, 95qmlxm7, jreh2bkw",147.0,2.0,True
johnlowery@gmail.com,04712252182,311kdz4c1210iixltk2j,42b3:df19:86fe:abd9:dafe:f6c1:eb76:c72,"11704 Andrew Villages Apt. 035
Jamesfurt, OR 49817-0470",7,5,1,"300mewnx, cfoevtai, kg0emdbe, crwqqfpi, u2xbyl92, c5w6btep, 7sdl8reg, i25dewqi, bpvdqkr7, qenelvvf, w5wkltds, m0vig74t, ao66pcnh, 0ltw4chk, h1zprjml, aoyfjmwf, hjsrew5l, e93zwysp, t2tr0zve, ckvws967, gzs6it77, soaefwfo, 7df4i4c9, c5usmga3, qio8vvq7, xi23rned, my4g00b1, g3bqf8xd",1033.0,6.0,True
kristaavery@lewis-baird.com,242.165.5396x07020,3wqhnieu6nbcis8x7h3j,180.223.72.88,"73802 Aaron Field Apt. 622
Port Lisa, MO 01167",1,1,3,j8eo5x52,16.0,1.0,False
dana23@lawrence.net,+78(3)5889318722,1c9wdri783k7ts0a6ix0,168.52.139.112,"USNV Bennett
FPO AE 82607-5790",0,0,1,,,,False
cathy42@gibson.com,754.248.6239x43965,c3r2qzqwc9anp6utob7n,7493:ab04:47ff:3a14:67d6:a128:a5b6:1500,"046 Carson Crescent
South Jacksonview, NV 22839-2652",3,3,15,"h469bpo6, vj05ozm5, aziryp5p",87.0,0.0,True
michelleherrera@day.info,1-991-286-0655x973,s7m2fjcrk1y7lj0amm08,fb35:e7e4:1368:817f:b75e:6473:d60b:93a8,"586 Johnson Courts
South Timothymouth, OH 66490",6,4,1,"r214877d, 36u4g331, 8wozhvp8, vqceka21, ah1qaf4c, pgduytlm",231.0,2.0,False
brockmatthew@hotmail.com,800.814.4655x012,132m3ourosp5a28ksvou,188.74.171.130,"08645 Alvarado Way Suite 514
Millerfurt, AL 86782-0548",0,0,0,,,,False
ijuarez@yahoo.com,705.315.1466x180,ztef2ig476czoj3mzkyl,9247:4a63:f325:1e5e:fcbb:ea08:304b:48ad,"Unit 0375 Box 6645
DPO AP 74311",3,3,2,"pf63pf7p, fjfqyvsq, 7sb2vztr",72.0,0.0,False
hughesjonathan@pena.org,05514762453,ntjnc4h0ldd2yia6m7u6,5176:b1b5:d308:40b9:7c25:f5bf:4258:52d2,"7444 Shelby Fords Apt. 290
Rhondaland, AS 85277-9573",7,5,3,"ec0xejv1, uplzo1p7, co2h5f40, 3kwagzt0, ggnme3au, tbc5gpg0, pne2a081",275.0,3.0,False
anthony04@gmail.com,1-910-678-8300,pabten624qp5gacfxnxh,248.33.149.88,"412 Joshua Knoll Apt. 533
Davidland, ME 61496",2,2,1,"ird6quss, kr4piaj6",49.0,0.0,False
mgould@yahoo.com,1-394-145-7899x0176,o7xocau2odnpc1so7ued,e85d:101b:e213:d8d0:8722:3fce:1e31:17f3,"19170 Hansen Throughway
Wilkersonville, PA 09423",5,4,2,"ls23wjjk, 57digam0, vvo1vly6, skhsy75r, bph7txfx",119.0,1.0,False
bakersydney@gmail.com,002.940.3004x9094,18cnggmlahgf7trpqsu8,246.139.218.89,"8649 Mcgee Locks Apt. 114
North Angelafort, IN 05272-4651",5,3,1,"4d21mp0y, 06r7dg7q, nwvqorle, x8085ani, 5i9fxj2h",175.0,2.0,False
kevinreyes@johnston.net,1-586-561-8956x40209,jfu1ob6izknk46i3ddxw,e0ec:bc57:9219:e4b:9192:64c2:82cd:4983,"958 House Plaza
Barnesberg, WA 67085-1912",0,0,1,,,,False
udavis@clark.com,(942)067-2430,y7b7eqwqn34mytvn1i5z,146.191.70.148,"9923 Williams Ramp
East Lauraburgh, GA 48874",3,3,1,"i7p3731v, xm6z2ku4, a1etssuy",41.0,0.0,False
nancymayo@brown.com,830-346-6543x518,1asmfecu4hbv73a2r5jy,79.112.154.104,"6927 Nathan Mountains
North April, PA 95355-9109",7,6,2,"ht0fcw33, d6rooqlh, 5unj4ehj, gkkxcjim, uhz22wkv, lg7lup4i, 4z7tp93o",338.0,1.0,True
johnlowery@gmail.com,1-820-539-4726x993,2in0fh7lep289n8dcbdz,163.128.139.42,"814 Wagner Union
Ashleymouth, HI 35617",2,2,1,"300mewnx, cfoevtai, kg0emdbe, crwqqfpi, u2xbyl92, c5w6btep, 7sdl8reg, i25dewqi, bpvdqkr7, qenelvvf, w5wkltds, m0vig74t, ao66pcnh, 0ltw4chk, h1zprjml, aoyfjmwf, hjsrew5l, e93zwysp, t2tr0zve, ckvws967, gzs6it77, soaefwfo, 7df4i4c9, c5usmga3, qio8vvq7, xi23rned, my4g00b1, g3bqf8xd",1033.0,6.0,True
warrenedward@arnold.com,201.737.5119x64000,6py7ewqjkxjw8zjl9eri,45.203.99.249,"49680 Brian Squares Apt. 122
Port Walterburgh, MH 02766-0708",4,4,14,"0w4ng8t4, 1od1zuej, 409r48ot, kaxr9ib2",117.0,0.0,True
rbolton@hotmail.com,04454448537,znuylfikiuid1orrwsvt,911e:44d8:824c:85a3:ba7a:6513:8d40:c4c3,"150 Kenneth Bypass Apt. 791
Kevinton, VT 92488",5,4,3,"hojsrmq7, mco06mub, lt32c5y7, izx7ae9w, nixfmk79",117.0,2.0,False
michael57@oconnor.com,06109351281,vqvlsaw0j6p0r8sij1qs,30.23.223.15,"905 David Rest
Nicolemouth, OK 53015-0063",0,0,2,,,,True
jonathan99@stafford.org,(986)656-8692x32356,1mt65bhu4bzyrmzeitz6,ecc1:e4b8:65e1:d1e:bf58:b09d:3c50:509,"4913 Wright Ranch
Roymouth, VI 48629",2,2,1,"ziw7e3wa, d25j8j1o",92.0,0.0,True
lleonard@turner-fleming.com,1-414-937-7421x73705,yfpqgg5oxsn107veaala,97.111.97.42,"96103 Riley Walks
Michellefort, ID 98085-6066",11,8,1,"rids9xcr, vfr9e4p1, 7vettvqh, 8zufs56k, iavr78ml, po2qgue2, 02xzx7s8, ubhcpkcn, 0zv4q3v7, gidcndd6, bkink4ub",653.0,3.0,True
whitedavid@jones-lloyd.org,902.047.2861,jvab5ehh3y5u4spybjm4,95.228.108.171,"881 Jessica Ford
Ericksonhaven, FL 83492-3227",5,5,4,"3pymh6mw, unkt953p, 009jh4iq, bjtbye6a, i8ish28k",283.0,0.0,True
grace99@wright.com,257-706-1003x92053,1rqqqzad6b2grmhvktxf,3c3d:d324:e445:35c:4d73:936a:e1bb:ce99,"88469 Rebecca Land
West Kyleborough, DC 15715-5196",0,0,1,,,,False
tayloreric@gmail.com,1-160-137-7889x74832,sjoj10iss04dq90i4w7x,3.75.86.140,"3195 Farmer Mills Apt. 946
Brittanymouth, IA 14170",4,3,2,"58xj4057, c15e6515, 90fuwka6, v2eetof8",85.0,1.0,False
shelby24@hotmail.com,(071)934-3315x27613,obb41ux0zfa2td5ajo9s,45.203.99.249,"3271 Cynthia Groves
Port Jeremyberg, CO 27305",5,4,2,"8bksc5m8, uy4yp6pt, vjunxb2y, 9s2ob8gu, z2u9dn7i",192.0,1.0,True
cindydelgado@gmail.com,523.689.5105x7670,z3vo5aropo8rd2lfqrnq,86.201.239.98,"7835 Jasmine Mission Suite 502
Port Alejandra, WA 47942-2517",4,4,1,"1fgz8zng, b13nyxts, x73jfun1, 4o8fq6zf",146.0,0.0,False
brittanydean@hotmail.com,06238721842,yq8xiivmx4prlgx0gofo,3517:8e52:885:8640:a59:f5fd:cb33:b06a,"49680 Brian Squares Apt. 122
Port Walterburgh, MH 02766-0708",6,4,1,"mq9xpl0j, rsxqencf, xqb78j8d, tujxikee, 08k9grki, 28ddf0q0",202.0,2.0,True
watkinscaroline@lewis-haas.com,153-392-3908x8124,mcfj07mm32tyodtfh7z2,244.18.220.218,"991 Melton Viaduct
Wagnerville, NH 56051",2,2,1,"evap24h5, qv0juj5h",38.0,0.0,False
marissacollins@mckinney.com,09686705337,jx3d90d32iz1zlo5jntm,a2df:1771:97bf:98cb:3a4c:c7ec:a113:b080,"95667 Alex Burg
Greenton, NH 20710-0614",6,5,1,"3ukr2xo2, wkk02323, j8pqgvs2, ldrk3iu0, u8124k9p, ggmerx76",166.0,2.0,False
craig83@rasmussen-alvarado.com,122-259-7479x336,s93o0wj3eqd9whcy9ng3,35.212.254.226,"10068 Adam Rapids Suite 792
Rileyburgh, GA 11372",2,2,13,"rkahezdu, crl6tv84",41.0,1.0,True
thernandez@johnson-quinn.com,(940)148-2704,y2n05wrk1bg8w21bey0t,1f62:a7f0:6db0:caee:9b6a:eafd:dfea:c50,"911 Miller Summit Suite 426
Port Ashley, IA 03124-9666",2,2,1,"gaxk9rqy, m8r6hniu",36.0,0.0,False
emilyroberts@hotmail.com,479.228.3536,dpgcbcifnntnq2ht4owp,87.18.25.113,"94798 Reed Park Apt. 840
Port Normanborough, ME 36946-3989",2,2,1,"65kax9bv, jydc0igm",36.0,0.0,False
ukline@spears.biz,(199)535-2932,vv7fwhdfrxaeozga5be6,990a:643c:1936:30db:f90:90fe:c1e0:47c,"2038 Billy Turnpike
Barreraside, AR 77704-0733",0,0,3,,,,True
vmiller@hotmail.com,000-734-4774,b1tjk5s0j9ybj1qpt3ik,164.79.214.9,"PSC 9111, Box 9839
APO AA 57283-9646",10,8,1,"a77klpib, ip5tk6rk, 0kkdyxv9, mjnf4ynr, 1hnqqte8, chhgzokp, 1fvxj1f7, 2pxfi412, vmzjq1hz, tp8rcpaj",551.0,3.0,True
david45@gmail.com,(508)223-3834,l6qv05oe0h0j78kx84ex,9d8d:535b:36fc:8773:bec0:8fa5:3206:4cb5,"5360 Adams Falls Suite 829
Hensleymouth, WV 86746-6334",10,8,5,"37wzwli3, t08f5g4x, 1nm2xl3k, o09fmom1, rbjz1iom, lva5by83, 1jpyo91x, w7v8dfj3, 55dcono8, 88pxkgun",566.0,3.0,True
